"","Status_of_existing_checking_account","Duration_in_month","Credit_history","Purpose","Credit_amount","Savings_account_bonds","Present_employment_since","Installment_rate_in_percentage_of_disposable_income","Personal_status_and_sex","Other_debtors_guarantors","Present_residence_since","Property","Age_in_years","Other_installment_plans","Housing","Number_of_existing_credits_at_this_bank","Job","Number_of_people_being_liable_to_provide_maintenance_for","Telephone","foreign_worker","Good_Loan"
"939","0 < =  ... < 200 DM",60,"existing credits paid back duly till now","education",6288,"... < 100 DM","1 < =  ... < 4 years",4,"male : single","none",4,"unknown / no property",42,"none","for free",1,"skilled employee / official",1,"none","yes","BadLoan"
"940","no checking account",24,"critical account/other credits existing (not at this bank)","car (used)",6842,"unknown/ no savings account","1 < =  ... < 4 years",2,"male : single","none",4,"if not A121 : building society savings agreement/life insurance",46,"none","own",2,"management/ self-employed/highly qualified employee/ officer",2,"yes, registered under the customers name","yes","GoodLoan"
"941","no checking account",12,"existing credits paid back duly till now","car (new)",3527,"unknown/ no savings account","... < 1 year",2,"male : single","none",3,"if not A121 : building society savings agreement/life insurance",45,"none","own",1,"management/ self-employed/highly qualified employee/ officer",2,"yes, registered under the customers name","yes","GoodLoan"
"942","no checking account",10,"existing credits paid back duly till now","car (new)",1546,"... < 100 DM","1 < =  ... < 4 years",3,"male : single","none",2,"real estate",31,"none","own",1,"unskilled - resident",2,"none","no","GoodLoan"
"943","no checking account",24,"existing credits paid back duly till now","furniture/equipment",929,"unknown/ no savings account","4 < =  ... < 7 years",4,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",31,"stores","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"944","no checking account",4,"critical account/other credits existing (not at this bank)","car (new)",1455,"... < 100 DM","4 < =  ... < 7 years",2,"male : single","none",1,"real estate",42,"none","own",3,"unskilled - resident",2,"none","yes","GoodLoan"
"945","... < 0 DM",15,"existing credits paid back duly till now","furniture/equipment",1845,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","guarantor",1,"if not A121 : building society savings agreement/life insurance",46,"none","rent",1,"skilled employee / official",1,"none","yes","GoodLoan"
"946","0 < =  ... < 200 DM",48,"no credits taken/all credits paid back duly","car (new)",8358,"500 < =  ... < 1000 DM","... < 1 year",1,"female : divorced/separated/married","none",1,"if not A121/A122 : car or other, not in attribute 6",30,"none","own",2,"skilled employee / official",1,"none","yes","GoodLoan"
"947","... < 0 DM",24,"all credits at this bank paid back duly","furniture/equipment",3349,"500 < =  ... < 1000 DM","... < 1 year",4,"male : single","none",4,"unknown / no property",30,"none","for free",1,"skilled employee / official",2,"yes, registered under the customers name","yes","BadLoan"
"948","no checking account",12,"existing credits paid back duly till now","car (new)",2859,"unknown/ no savings account","unemployed",4,"male : single","none",4,"unknown / no property",38,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"949","no checking account",18,"existing credits paid back duly till now","furniture/equipment",1533,"... < 100 DM","... < 1 year",4,"male : married/widowed","co-applicant",1,"if not A121 : building society savings agreement/life insurance",43,"none","own",1,"unskilled - resident",2,"none","yes","BadLoan"
"950","no checking account",24,"existing credits paid back duly till now","radio/television",3621,"100 < =  ... < 500 DM",".. > =  7 years",2,"male : single","none",4,"if not A121/A122 : car or other, not in attribute 6",31,"none","own",2,"skilled employee / official",1,"none","yes","BadLoan"
"951","0 < =  ... < 200 DM",18,"critical account/other credits existing (not at this bank)","business",3590,"... < 100 DM","unemployed",3,"male : married/widowed","none",3,"if not A121/A122 : car or other, not in attribute 6",40,"none","own",3,"unemployed/ unskilled - non-resident",2,"yes, registered under the customers name","yes","GoodLoan"
"952","... < 0 DM",36,"delay in paying off in the past","business",2145,"... < 100 DM","4 < =  ... < 7 years",2,"male : single","none",1,"if not A121/A122 : car or other, not in attribute 6",24,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","BadLoan"
"953","0 < =  ... < 200 DM",24,"existing credits paid back duly till now","car (used)",4113,"500 < =  ... < 1000 DM","... < 1 year",3,"female : divorced/separated/married","none",4,"if not A121/A122 : car or other, not in attribute 6",28,"none","rent",1,"skilled employee / official",1,"none","yes","BadLoan"
"954","no checking account",36,"existing credits paid back duly till now","furniture/equipment",10974,"... < 100 DM","unemployed",4,"female : divorced/separated/married","none",2,"if not A121/A122 : car or other, not in attribute 6",26,"none","own",2,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","BadLoan"
"955","... < 0 DM",12,"existing credits paid back duly till now","car (new)",1893,"... < 100 DM","1 < =  ... < 4 years",4,"female : divorced/separated/married","guarantor",4,"if not A121 : building society savings agreement/life insurance",29,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"956","... < 0 DM",24,"critical account/other credits existing (not at this bank)","radio/television",1231,".. > =  1000 DM",".. > =  7 years",4,"female : divorced/separated/married","none",4,"if not A121 : building society savings agreement/life insurance",57,"none","rent",2,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"957","... > =  200 DM / salary assignments for at least 1 year",30,"critical account/other credits existing (not at this bank)","radio/television",3656,"unknown/ no savings account",".. > =  7 years",4,"male : single","none",4,"if not A121 : building society savings agreement/life insurance",49,"stores","own",2,"unskilled - resident",1,"none","yes","GoodLoan"
"958","0 < =  ... < 200 DM",9,"critical account/other credits existing (not at this bank)","radio/television",1154,"... < 100 DM",".. > =  7 years",2,"male : single","none",4,"real estate",37,"none","own",3,"unskilled - resident",1,"none","yes","GoodLoan"
"959","... < 0 DM",28,"existing credits paid back duly till now","car (new)",4006,"... < 100 DM","1 < =  ... < 4 years",3,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",45,"none","own",1,"unskilled - resident",1,"none","yes","BadLoan"
"960","0 < =  ... < 200 DM",24,"existing credits paid back duly till now","furniture/equipment",3069,"100 < =  ... < 500 DM",".. > =  7 years",4,"male : single","none",4,"unknown / no property",30,"none","for free",1,"skilled employee / official",1,"none","yes","GoodLoan"
"961","no checking account",6,"critical account/other credits existing (not at this bank)","radio/television",1740,"... < 100 DM",".. > =  7 years",2,"male : married/widowed","none",2,"real estate",30,"none","rent",2,"skilled employee / official",1,"none","yes","GoodLoan"
"962","0 < =  ... < 200 DM",21,"delay in paying off in the past","car (new)",2353,"... < 100 DM","1 < =  ... < 4 years",1,"male : divorced/separated","none",4,"if not A121 : building society savings agreement/life insurance",47,"none","own",2,"skilled employee / official",1,"none","yes","GoodLoan"
"963","no checking account",15,"existing credits paid back duly till now","car (new)",3556,"unknown/ no savings account","1 < =  ... < 4 years",3,"male : single","none",2,"unknown / no property",29,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"964","no checking account",24,"existing credits paid back duly till now","radio/television",2397,"500 < =  ... < 1000 DM",".. > =  7 years",3,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",35,"bank","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","BadLoan"
"965","0 < =  ... < 200 DM",6,"existing credits paid back duly till now","repairs",454,"... < 100 DM","... < 1 year",3,"male : married/widowed","none",1,"if not A121 : building society savings agreement/life insurance",22,"none","own",1,"unskilled - resident",1,"none","yes","GoodLoan"
"966","0 < =  ... < 200 DM",30,"existing credits paid back duly till now","radio/television",1715,"unknown/ no savings account","1 < =  ... < 4 years",4,"female : divorced/separated/married","none",1,"if not A121/A122 : car or other, not in attribute 6",26,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"967","0 < =  ... < 200 DM",27,"critical account/other credits existing (not at this bank)","radio/television",2520,"500 < =  ... < 1000 DM","1 < =  ... < 4 years",4,"male : single","none",2,"if not A121 : building society savings agreement/life insurance",23,"none","own",2,"unskilled - resident",1,"none","yes","BadLoan"
"968","no checking account",15,"existing credits paid back duly till now","radio/television",3568,"... < 100 DM",".. > =  7 years",4,"female : divorced/separated/married","none",2,"if not A121/A122 : car or other, not in attribute 6",54,"bank","rent",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"969","no checking account",42,"existing credits paid back duly till now","radio/television",7166,"unknown/ no savings account","4 < =  ... < 7 years",2,"male : married/widowed","none",4,"if not A121 : building society savings agreement/life insurance",29,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"970","... < 0 DM",11,"critical account/other credits existing (not at this bank)","car (new)",3939,"... < 100 DM","1 < =  ... < 4 years",1,"male : single","none",2,"real estate",40,"none","own",2,"unskilled - resident",2,"none","yes","GoodLoan"
"971","0 < =  ... < 200 DM",15,"existing credits paid back duly till now","repairs",1514,"100 < =  ... < 500 DM","1 < =  ... < 4 years",4,"male : single","guarantor",2,"real estate",22,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"972","no checking account",24,"existing credits paid back duly till now","car (new)",7393,"... < 100 DM","1 < =  ... < 4 years",1,"male : single","none",4,"if not A121 : building society savings agreement/life insurance",43,"none","own",1,"unskilled - resident",2,"none","yes","GoodLoan"
"973","... < 0 DM",24,"all credits at this bank paid back duly","car (new)",1193,"... < 100 DM","unemployed",1,"female : divorced/separated/married","co-applicant",4,"unknown / no property",29,"none","rent",2,"unemployed/ unskilled - non-resident",1,"none","yes","BadLoan"
